transaction_id,user_id,timestamp,amount,merchant_category,device_id,country,is_fraud,fraud_type
txn_0000000,721,2026-04-01 00:51:20,1926.91,pharmacy,dev_721_93802,IN,0,none
txn_0000001,197,2026-04-01 01:32:56,1116.91,travel,dev_197_24066,AE,0,none
txn_0000002,1691,2026-04-01 02:34:13,157.86,pharmacy,dev_1691_16202,IN,0,none
txn_0000003,1463,2026-04-01 02:45:15,6462.8,grocery,dev_1463_23073,IN,0,none
txn_0000004,779,2026-04-01 02:50:44,1118.45,utilities,dev_779_13179,IN,0,none
txn_0000005,283,2026-04-01 03:00:20,1777.42,entertainment,dev_283_72157,SG,0,none
txn_0000006,615,2026-04-01 03:12:29,935.16,fuel,dev_615_29951,AE,0,none
txn_0000007,1463,2026-04-01 03:36:21,2373.71,fashion,dev_1463_23073,IN,0,none
txn_0000008,1025,2026-04-01 03:58:18,1213.93,grocery,dev_1025_83766,IN,0,none
txn_0000009,628,2026-04-01 04:01:28,395.53,fashion,dev_628_76783,SG,0,none
txn_0000010,1463,2026-04-01 04:02:02,2919.88,fashion,dev_1463_23073,IN,0,none
txn_0000011,1342,2026-04-01 04:09:10,149.04,fuel,dev_1342_43202,IN,0,none
txn_0000012,461,2026-04-01 04:11:31,795.1,fuel,dev_461_29755,IN,0,none
txn_0000013,1219,2026-04-01 04:18:18,1530.07,electronics,dev_1219_80869,RU,0,none
txn_0000014,175,2026-04-01 04:21:57,713.31,fuel,dev_175_61465,RU,0,none
txn_0000015,357,2026-04-01 04:22:23,245.72,grocery,dev_357_52007,IN,0,none
txn_0000016,1740,2026-04-01 04:22:57,1426.82,dining,dev_1740_21792,IN,0,none
txn_0000017,834,2026-04-01 04:23:48,370.07,pharmacy,dev_834_11203,IN,0,none
txn_0000018,1452,2026-04-01 04:29:22,455.42,dining,dev_1452_32892,IN,0,none
txn_0000019,1089,2026-04-01 04:30:51,418.29,digital_goods,dev_1089_87161,IN,0,none
txn_0000020,643,2026-04-01 04:31:52,799.01,fuel,dev_643_58109,IN,0,none
txn_0000021,904,2026-04-01 04:33:38,243.51,pharmacy,dev_904_61503,IN,0,none
txn_0000022,1386,2026-04-01 04:34:36,817.36,grocery,dev_1386_81209,IN,0,none
txn_0000023,723,2026-04-01 04:37:19,2758.54,utilities,dev_723_21304,IN,0,none
txn_0000024,499,2026-04-01 04:38:29,1374.42,travel,dev_499_39959,IN,0,none
txn_0000025,477,2026-04-01 04:39:28,1062.33,electronics,dev_477_48286,IN,0,none
txn_0000026,1261,2026-04-01 04:51:38,208.63,entertainment,dev_1261_56946,US,0,none
txn_0000027,1075,2026-04-01 04:52:20,261.83,electronics,dev_1075_37058,IN,0,none
txn_0000028,1632,2026-04-01 04:54:08,693.9,digital_goods,dev_1632_44130,IN,0,none
txn_0000029,1503,2026-04-01 04:56:40,267.29,entertainment,dev_1503_48262,IN,0,none
txn_0000030,1136,2026-04-01 04:58:30,729.2,electronics,dev_1136_95343,IN,0,none
txn_0000031,113,2026-04-01 05:00:33,1449.23,dining,dev_113_95377,IN,0,none
txn_0000032,389,2026-04-01 05:00:59,3374.65,fashion,dev_389_31086,IN,0,none
txn_0000033,12,2026-04-01 05:07:27,1173.46,entertainment,dev_12_62294,IN,0,none
txn_0000034,1261,2026-04-01 05:07:31,418.35,entertainment,dev_1261_56946,US,0,none
txn_0000035,1735,2026-04-01 05:07:32,1202.02,electronics,dev_1735_75527,IN,0,none
txn_0000036,211,2026-04-01 05:10:46,622.11,dining,dev_211_23511,IN,0,none
txn_0000037,389,2026-04-01 05:10:52,1105.21,fashion,dev_389_31086,IN,0,none
txn_0000038,351,2026-04-01 05:12:22,322.97,fuel,dev_351_60404,IN,0,none
